"TIME","GEO","DAIRYPROD","UNIT","Value"
"2011","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","525.63"
"2012","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","535.06"
"2013","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","516.97"
"2014","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","531.69"
"2015","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","553.68"
"2016","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","574.71"
"2017","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","578.85"
"2018","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","570.64"
"2019","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","563.97"
"2020","Slovenia","Raw cows' milk delivered to dairies","Thousand tonnes","580.11"
"2011","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","811.50"
"2012","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","851.25"
"2013","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","826.73"
"2014","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","843.69"
"2015","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","864.63"
"2016","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","822.74"
"2017","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","825.89"
"2018","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","818.22"
"2019","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","814.73"
"2020","Slovakia","Raw cows' milk delivered to dairies","Thousand tonnes","833.79"
"2011","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,255.31"
"2012","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,254.04"
"2013","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,286.81"
"2014","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,357.15"
"2015","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,394.32"
"2016","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,389.53"
"2017","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,365.92"
"2018","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,353.69"
"2019","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,329.67"
"2020","Finland","Raw cows' milk delivered to dairies","Thousand tonnes","2,362.11"
"2011","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,850.40"
"2012","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,861.17"
"2013","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,867.55"
"2014","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,931.25"
"2015","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,933.16"
"2016","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,861.99"
"2017","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,816.65"
"2018","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,760.23"
"2019","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,704.39"
"2020","Sweden","Raw cows' milk delivered to dairies","Thousand tonnes","2,772.74"
"2011","European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2012","European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2013","European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2014","European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
